Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
New Zealand vs Bangladesh,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,"Mar 23, 2021",ODI # 4280
India vs England,India,England,India,66 runs,Pune,"Mar 23, 2021",ODI # 4281
New Zealand vs Bangladesh,New Zealand,Bangladesh,New Zealand,164 runs,Wellington,"Mar 26, 2021",ODI # 4282
India vs England,India,England,England,6 wickets,Pune,"Mar 26, 2021",ODI # 4283
India vs England,India,England,India,7 runs,Pune,"Mar 28, 2021",ODI # 4284
South Africa vs Pakistan,South Africa,Pakistan,Pakistan,3 wickets,Centurion,"Apr 2, 2021",ODI # 4285
South Africa vs Pakistan,South Africa,Pakistan,South Africa,17 runs,Johannesburg,"Apr 4, 2021",ODI # 4286
South Africa vs Pakistan,South Africa,Pakistan,Pakistan,28 runs,Centurion,"Apr 7, 2021",ODI # 4287
Netherlands vs Scotland,Netherlands,Scotland,Netherlands,14 runs,Rotterdam,"May 19, 2021",ODI # 4288
Netherlands vs Scotland,Netherlands,Scotland,Scotland,6 wickets,Rotterdam,"May 20, 2021",ODI # 4289
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,"May 23, 2021",ODI # 4290
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,"May 25, 2021",ODI # 4291
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,"May 28, 2021",ODI # 4292
Netherlands vs Ireland,Netherlands,Ireland,Netherlands,1 run,Utrecht,"Jun 2, 2021",ODI # 4293
Netherlands vs Ireland,Netherlands,Ireland,Ireland,8 wickets,Utrecht,"Jun 4, 2021",ODI # 4294
Netherlands vs Ireland,Netherlands,Ireland,Netherlands,4 wickets,Utrecht,"Jun 7, 2021",ODI # 4295
England vs Sri Lanka,England,Sri Lanka,England,5 wickets,Chester-le-Street,"Jun 29, 2021",ODI # 4296
England vs Sri Lanka,England,Sri Lanka,England,8 wickets,The Oval,"Jul 1, 2021",ODI # 4297
England vs Pakistan,England,Pakistan,England,9 wickets,Cardiff,"Jul 8, 2021",ODI # 4299
England vs Pakistan,England,Pakistan,England,52 runs,Lord's,"Jul 10, 2021",ODI # 4300
Ireland vs South Africa,Ireland,South Africa,Ireland,43 runs,Dublin (Malahide),"Jul 13, 2021",ODI # 4302
England vs Pakistan,England,Pakistan,England,3 wickets,Birmingham,"Jul 13, 2021",ODI # 4303
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,"Jul 16, 2021",ODI # 4304
Ireland vs South Africa,Ireland,South Africa,South Africa,70 runs,Dublin (Malahide),"Jul 16, 2021",ODI # 4305
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,"Jul 18, 2021",ODI # 4306
Sri Lanka vs India,Sri Lanka,India,India,7 wickets,Colombo (RPS),"Jul 18, 2021",ODI # 4307
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,"Jul 20, 2021",ODI # 4308
Sri Lanka vs India,Sri Lanka,India,India,3 wickets,Colombo (RPS),"Jul 20, 2021",ODI # 4309
West Indies vs Australia,West Indies,Australia,Australia,133 runs,Bridgetown,"Jul 20, 2021",ODI # 4310
West Indies vs Australia,West Indies,Australia,West Indies,4 wickets,Bridgetown,"Jul 22-24, 2021",ODI # 4311
Sri Lanka vs India,Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS),"Jul 23, 2021",ODI # 4312
West Indies vs Australia,West Indies,Australia,Australia,6 wickets,Bridgetown,"Jul 26, 2021",ODI # 4313
Sri Lanka vs South Africa,Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS),"Sep 2, 2021",ODI # 4314
Sri Lanka vs South Africa,Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS),"Sep 4, 2021",ODI # 4315
P.N.G. vs U.S.A.,P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat,"Sep 6, 2021",ODI # 4316
Nepal vs P.N.G.,Nepal,P.N.G.,Nepal,2 wickets,Al Amerat,"Sep 7, 2021",ODI # 4317
Sri Lanka vs South Africa,Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS),"Sep 7, 2021",ODI # 4318
Ireland vs Zimbabwe,Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast,"Sep 8, 2021",ODI # 4319
P.N.G. vs U.S.A.,P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat,"Sep 9, 2021",ODI # 4320
Nepal vs P.N.G.,Nepal,P.N.G.,Nepal,151 runs,Al Amerat,"Sep 10, 2021",ODI # 4322
Ireland vs Zimbabwe,Ireland,Zimbabwe,Ireland,7 wickets,Belfast,"Sep 13, 2021",ODI # 4323
Nepal vs U.S.A.,Nepal,U.S.A.,Nepal,5 wickets,Al Amerat,"Sep 13, 2021",ODI # 4324
Oman vs Nepal,Oman,Nepal,Oman,5 wickets,Al Amerat,"Sep 14, 2021",ODI # 4325
Oman vs U.S.A.,Oman,U.S.A.,Oman,4 wickets,Al Amerat,"Sep 16, 2021",ODI # 4326
Nepal vs U.S.A.,Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat,"Sep 17, 2021",ODI # 4327
Oman vs Nepal,Oman,Nepal,Nepal,7 wickets,Al Amerat,"Sep 19, 2021",ODI # 4328
Oman vs U.S.A.,Oman,U.S.A.,Oman,72 runs,Al Amerat,"Sep 20, 2021",ODI # 4329
P.N.G. vs Scotland,P.N.G.,Scotland,Scotland,6 wickets,Al Amerat,"Sep 25, 2021",ODI # 4330
Oman vs P.N.G.,Oman,P.N.G.,Oman,110 runs,Al Amerat,"Sep 26, 2021",ODI # 4331
Oman vs Scotland,Oman,Scotland,Scotland,18 runs,Al Amerat,"Sep 28, 2021",ODI # 4332
P.N.G. vs Scotland,P.N.G.,Scotland,Scotland,4 wickets,Al Amerat,"Sep 29, 2021",ODI # 4333
Oman vs P.N.G.,Oman,P.N.G.,Oman,3 wickets,Al Amerat,"Oct 1, 2021",ODI # 4334
Namibia vs Oman,Namibia,Oman,Namibia,40 runs,Windhoek,"Nov 26, 2021",ODI # 4336
Namibia vs Oman,Namibia,Oman,Oman,9 runs,Windhoek,"Nov 27, 2021",ODI # 4338
West Indies vs Ireland,West Indies,Ireland,West Indies,24 runs,Kingston,"Jan 8, 2022",ODI # 4339
West Indies vs Ireland,West Indies,Ireland,Ireland,5 wickets,Kingston,"Jan 13, 2022",ODI # 4340
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,"Jan 16, 2022",ODI # 4341
West Indies vs Ireland,West Indies,Ireland,Ireland,2 wickets,Kingston,"Jan 16, 2022",ODI # 4342
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,"Jan 18, 2022",ODI # 4343
South Africa vs India,South Africa,India,South Africa,31 runs,Paarl,"Jan 19, 2022",ODI # 4344
Afghanistan vs Netherlands,Afghanistan,Netherlands,Afghanistan,36 runs,Doha,"Jan 21, 2022",ODI # 4345
South Africa vs India,South Africa,India,South Africa,7 wickets,Paarl,"Jan 21, 2022",ODI # 4346
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,"Jan 21, 2022",ODI # 4347
Afghanistan vs Netherlands,Afghanistan,Netherlands,Afghanistan,48 runs,Doha,"Jan 23, 2022",ODI # 4348
South Africa vs India,South Africa,India,South Africa,4 runs,Cape Town,"Jan 23, 2022",ODI # 4349
Afghanistan vs Netherlands,Afghanistan,Netherlands,Afghanistan,75 runs,Doha,"Jan 25, 2022",ODI # 4350
Oman vs U.A.E.,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 5, 2022",ODI # 4351
Oman vs U.A.E.,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 6, 2022",ODI # 4352
India vs West Indies,India,West Indies,India,6 wickets,Ahmedabad,"Feb 6, 2022",ODI # 4353
Oman vs U.A.E.,Oman,U.A.E.,tied,,Al Amerat,"Feb 8, 2022",ODI # 4354
India vs West Indies,India,West Indies,India,44 runs,Ahmedabad,"Feb 9, 2022",ODI # 4355
India vs West Indies,India,West Indies,India,96 runs,Ahmedabad,"Feb 11, 2022",ODI # 4356
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,"Feb 23, 2022",ODI # 4357
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,"Feb 25, 2022",ODI # 4358
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,"Feb 28, 2022",ODI # 4359
U.A.E. vs Oman,U.A.E.,Oman,Oman,12 runs,ICCA Dubai,"Mar 5, 2022",ODI # 4360
Namibia vs Oman,Namibia,Oman,Namibia,110 runs,ICCA Dubai,"Mar 6, 2022",ODI # 4361
U.A.E. vs Namibia,U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai,"Mar 8, 2022",ODI # 4362
U.A.E. vs Oman,U.A.E.,Oman,Oman,8 runs,ICCA Dubai,"Mar 9, 2022",ODI # 4363
Namibia vs Oman,Namibia,Oman,Oman,7 wickets,Sharjah,"Mar 11, 2022",ODI # 4364
U.A.E. vs Namibia,U.A.E.,Namibia,U.A.E.,43 runs,Sharjah,"Mar 12, 2022",ODI # 4365
Namibia vs Oman,Namibia,Oman,Namibia,5 wickets,Dubai (DSC),"Mar 14, 2022",ODI # 4366
U.A.E. vs P.N.G.,U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah,"Mar 15, 2022",ODI # 4367
Nepal vs P.N.G.,Nepal,P.N.G.,Nepal,2 wickets,Sharjah,"Mar 16, 2022",ODI # 4368
U.A.E. vs Nepal,U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC),"Mar 18, 2022",ODI # 4369
South Africa vs Bangladesh,South Africa,Bangladesh,Bangladesh,38 runs,Centurion,"Mar 18, 2022",ODI # 4370
U.A.E. vs P.N.G.,U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC),"Mar 19, 2022",ODI # 4371
South Africa vs Bangladesh,South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,"Mar 20, 2022",ODI # 4372
U.A.E. vs Nepal,U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC),"Mar 21, 2022",ODI # 4373
Nepal vs P.N.G.,Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC),"Mar 22, 2022",ODI # 4374
South Africa vs Bangladesh,South Africa,Bangladesh,Bangladesh,9 wickets,Centurion,"Mar 23, 2022",ODI # 4375
Nepal vs P.N.G.,Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur,"Mar 25, 2022",ODI # 4376
Nepal vs P.N.G.,Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur,"Mar 26, 2022",ODI # 4377
New Zealand vs Netherlands,New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui,"Mar 29, 2022",ODI # 4378
Pakistan vs Australia,Pakistan,Australia,Australia,88 runs,Lahore,"Mar 29, 2022",ODI # 4379
Pakistan vs Australia,Pakistan,Australia,Pakistan,6 wickets,Lahore,"Mar 31, 2022",ODI # 4380
New Zealand vs Netherlands,New Zealand,Netherlands,New Zealand,118 runs,Hamilton,"Apr 2, 2022",ODI # 4381
Pakistan vs Australia,Pakistan,Australia,Pakistan,9 wickets,Lahore,"Apr 2, 2022",ODI # 4382
New Zealand vs Netherlands,New Zealand,Netherlands,New Zealand,115 runs,Hamilton,"Apr 4, 2022",ODI # 4383
P.N.G. vs Scotland,P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC),"Apr 9, 2022",ODI # 4384
Oman vs Scotland,Oman,Scotland,Scotland,4 runs,Dubai (DSC),"Apr 10, 2022",ODI # 4385
Oman vs P.N.G.,Oman,P.N.G.,Oman,7 wickets,Dubai (DSC),"Apr 12, 2022",ODI # 4386
P.N.G. vs Scotland,P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC),"Apr 13, 2022",ODI # 4387
Oman vs Scotland,Oman,Scotland,Scotland,2 wickets,Dubai (DSC),"Apr 15, 2022",ODI # 4388
Oman vs P.N.G.,Oman,P.N.G.,Oman,85 runs,Dubai (DSC),"Apr 16, 2022",ODI # 4389
U.S.A. vs Scotland,U.S.A.,Scotland,U.S.A.,104 runs,Pearland,"May 28, 2022",ODI # 4390
U.S.A. vs Scotland,U.S.A.,Scotland,Scotland,111 runs,Pearland,"May 29, 2022",ODI # 4391
Netherlands vs West Indies,Netherlands,West Indies,West Indies,7 wickets,Amstelveen,"May 31, 2022",ODI # 4392
Scotland vs U.A.E.,Scotland,U.A.E.,Scotland,4 wickets,Pearland,"May 31, 2022",ODI # 4393
U.S.A. vs U.A.E.,U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland,"Jun 1, 2022",ODI # 4394
Netherlands vs West Indies,Netherlands,West Indies,West Indies,5 wickets,Amstelveen,"Jun 2, 2022",ODI # 4395
Scotland vs U.A.E.,Scotland,U.A.E.,U.A.E.,5 wickets,Pearland,"Jun 3, 2022",ODI # 4396
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare,"Jun 4, 2022",ODI # 4397
Netherlands vs West Indies,Netherlands,West Indies,West Indies,20 runs,Amstelveen,"Jun 4, 2022",ODI # 4398
U.S.A. vs U.A.E.,U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland,"Jun 4, 2022",ODI # 4399
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare,"Jun 6, 2022",ODI # 4400
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,5 wickets,Multan,"Jun 8, 2022",ODI # 4401
U.S.A. vs Oman,U.S.A.,Oman,U.S.A.,114 runs,Pearland,"Jun 8, 2022",ODI # 4402
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare,"Jun 9, 2022",ODI # 4403
Nepal vs Oman,Nepal,Oman,Oman,13 runs,Pearland,"Jun 9, 2022",ODI # 4404
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,120 runs,Multan,"Jun 10, 2022",ODI # 4405
U.S.A. vs Nepal,U.S.A.,Nepal,tied,,Pearland,"Jun 11, 2022",ODI # 4406
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,53 runs,Multan,"Jun 12, 2022",ODI # 4407
U.S.A. vs Oman,U.S.A.,Oman,Oman,13 runs,Pearland,"Jun 12, 2022",ODI # 4408
Sri Lanka vs Australia,Sri Lanka,Australia,Australia,2 wickets,Pallekele,"Jun 14, 2022",ODI # 4409
Nepal vs Oman,Nepal,Oman,Nepal,7 wickets,Pearland,"Jun 14, 2022",ODI # 4410
U.S.A. vs Nepal,U.S.A.,Nepal,U.S.A.,39 runs,Pearland,"Jun 15, 2022",ODI # 4411
Sri Lanka vs Australia,Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele,"Jun 16, 2022",ODI # 4412
Netherlands vs England,Netherlands,England,England,232 runs,Amstelveen,"Jun 17, 2022",ODI # 4413
Netherlands vs England,Netherlands,England,England,6 wickets,Amstelveen,"Jun 19, 2022",ODI # 4414
Sri Lanka vs Australia,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS),"Jun 19, 2022",ODI # 4415
Sri Lanka vs Australia,Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS),"Jun 21, 2022",ODI # 4416
Netherlands vs England,Netherlands,England,England,8 wickets,Amstelveen,"Jun 22, 2022",ODI # 4417
Sri Lanka vs Australia,Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),"Jun 24, 2022",ODI # 4418
Ireland vs New Zealand,Ireland,New Zealand,New Zealand,1 wicket,Dublin (Malahide),"Jul 10, 2022",ODI # 4419
Scotland vs Namibia,Scotland,Namibia,Scotland,77 runs,Glasgow,"Jul 10, 2022",ODI # 4420
West Indies vs Bangladesh,West Indies,Bangladesh,Bangladesh,6 wickets,Providence,"Jul 10, 2022",ODI # 4421
Namibia vs Nepal,Namibia,Nepal,Namibia,40 runs,Ayr,"Jul 11, 2022",ODI # 4422
Ireland vs New Zealand,Ireland,New Zealand,New Zealand,3 wickets,Dublin (Malahide),"Jul 12, 2022",ODI # 4423
England vs India,England,India,India,10 wickets,The Oval,"Jul 12, 2022",ODI # 4424
Scotland vs Nepal,Scotland,Nepal,Nepal,5 wickets,Glasgow,"Jul 13, 2022",ODI # 4425
West Indies vs Bangladesh,West Indies,Bangladesh,Bangladesh,9 wickets,Providence,"Jul 13, 2022",ODI # 4426
Scotland vs Namibia,Scotland,Namibia,Scotland,3 wickets,Glasgow,"Jul 14, 2022",ODI # 4427
England vs India,England,India,England,100 runs,Lord's,"Jul 14, 2022",ODI # 4428
Ireland vs New Zealand,Ireland,New Zealand,New Zealand,1 run,Dublin (Malahide),"Jul 15, 2022",ODI # 4429
Namibia vs Nepal,Namibia,Nepal,Namibia,63 runs,Ayr,"Jul 16, 2022",ODI # 4430
West Indies vs Bangladesh,West Indies,Bangladesh,Bangladesh,4 wickets,Providence,"Jul 16, 2022",ODI # 4431
Scotland vs Nepal,Scotland,Nepal,Scotland,8 wickets,Glasgow,"Jul 17, 2022",ODI # 4432
England vs India,England,India,India,5 wickets,Manchester,"Jul 17, 2022",ODI # 4433
England vs South Africa,England,South Africa,South Africa,62 runs,Chester-le-Street,"Jul 19, 2022",ODI # 4434
England vs South Africa,England,South Africa,England,118 runs,Manchester,"Jul 22, 2022",ODI # 4435
West Indies vs India,West Indies,India,India,3 runs,Port of Spain,"Jul 22, 2022",ODI # 4436
West Indies vs India,West Indies,India,India,2 wickets,Port of Spain,"Jul 24, 2022",ODI # 4438
West Indies vs India,West Indies,India,India,119 runs,Port of Spain,"Jul 27, 2022",ODI # 4439
Scotland vs New Zealand,Scotland,New Zealand,New Zealand,7 wickets,Edinburgh,"Jul 31, 2022",ODI # 4440
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,"Aug 5, 2022",ODI # 4441
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,"Aug 7, 2022",ODI # 4442
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare,"Aug 10, 2022",ODI # 4443
Scotland vs U.A.E.,Scotland,U.A.E.,Scotland,64 runs,Aberdeen,"Aug 10, 2022",ODI # 4444
U.A.E. vs U.S.A.,U.A.E.,U.S.A.,U.S.A.,1 wicket,Aberdeen,"Aug 11, 2022",ODI # 4445
Scotland vs U.S.A.,Scotland,U.S.A.,Scotland,5 wickets,Aberdeen,"Aug 13, 2022",ODI # 4446
Scotland vs U.A.E.,Scotland,U.A.E.,Scotland,86 runs,Aberdeen,"Aug 14, 2022",ODI # 4447
Netherlands vs Pakistan,Netherlands,Pakistan,Pakistan,16 runs,Rotterdam,"Aug 16, 2022",ODI # 4448
Scotland vs U.S.A.,Scotland,U.S.A.,U.S.A.,2 wickets,Aberdeen,"Aug 17, 2022",ODI # 4449
West Indies vs New Zealand,West Indies,New Zealand,West Indies,5 wickets,Bridgetown,"Aug 17, 2022",ODI # 4450
Zimbabwe vs India,Zimbabwe,India,India,10 wickets,Harare,"Aug 18, 2022",ODI # 4451
Netherlands vs Pakistan,Netherlands,Pakistan,Pakistan,7 wickets,Rotterdam,"Aug 18, 2022",ODI # 4452
West Indies vs New Zealand,West Indies,New Zealand,New Zealand,50 runs,Bridgetown,"Aug 19, 2022",ODI # 4453
Zimbabwe vs India,Zimbabwe,India,India,5 wickets,Harare,"Aug 20, 2022",ODI # 4454
Netherlands vs Pakistan,Netherlands,Pakistan,Pakistan,9 runs,Rotterdam,"Aug 21, 2022",ODI # 4455
West Indies vs New Zealand,West Indies,New Zealand,New Zealand,5 wickets,Bridgetown,"Aug 21, 2022",ODI # 4456
Zimbabwe vs India,Zimbabwe,India,India,13 runs,Harare,"Aug 22, 2022",ODI # 4457
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,5 wickets,Townsville,"Aug 28, 2022",ODI # 4458
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,8 wickets,Townsville,"Aug 31, 2022",ODI # 4459
Australia vs Zimbabwe,Australia,Zimbabwe,Zimbabwe,3 wickets,Townsville,"Sep 3, 2022",ODI # 4460
Australia vs New Zealand,Australia,New Zealand,Australia,2 wickets,Cairns,"Sep 6, 2022",ODI # 4461
Australia vs New Zealand,Australia,New Zealand,Australia,113 runs,Cairns,"Sep 8, 2022",ODI # 4462
P.N.G. vs U.S.A.,P.N.G.,U.S.A.,tied,,Port Moresby,"Sep 11, 2022",ODI # 4463
Australia vs New Zealand,Australia,New Zealand,Australia,25 runs,Cairns,"Sep 11, 2022",ODI # 4464
P.N.G. vs U.S.A.,P.N.G.,U.S.A.,P.N.G.,26 runs,Port Moresby,"Sep 13, 2022",ODI # 4465
Namibia vs U.S.A.,Namibia,U.S.A.,Namibia,79 runs,Port Moresby,"Sep 15, 2022",ODI # 4466
Namibia vs U.S.A.,Namibia,U.S.A.,Namibia,68 runs,Port Moresby,"Sep 17, 2022",ODI # 4467
